character,unique words
ET Reporter,44
Caroline,44
Younger Boy,44
Boyfriend,44
Jo,44
Female,44
Director 5,44
Resident Bishop,44
Uncle Budd,44
Representative,44
Dylan,43
Black Bitch,43
Ms. Turnod,43
Jessie,43
Romanian official,43
Kid 4,43
FOX 11 Anchor,43
Head Waiter,43
"Steve ""Last Call""",43
Mrs. Campbell,43
Jenkins,43
Designer,43
Editor,43
Mr. Harris,43
Bat dad,42
Danish Man,42
The Wizard,42
Guy Fieri,42
Baahir,42
Man With No Limbs,42
Mr. Brooks,42
Mr. Triscotti,42
Treasurer 3,42
Boat Ride Singers,42
REO Speedwagon,42
Hancock,42
Tom Hanks,42
Charles Biggens,42
Field Reporter 2,42
Boy #2,42
Toss-A-Ball Operator,42
Cartman on Left,42
Joe Jonas,42
A bishop,42
Short Man,42
Bee Alien,42
Male Diner,42
Soldier 5,42
Snooki,42
Jim Irsay,42
Spiky Vampire,42
Scoutmaster 2,41
Junjun,41
Others,41
Fat Girl,41
Jimmie Johnson,41
M. C.,41
Schlomo,41
Amir,41
Mrs. Hakeem,41
White Official,41
Dispatcher 1,41
John Elway,41
Townsman 6,41
Soldiers,41
Otis,41
Mrs. Landis,41
O'Reilly,41
Otter 1,41
A Man,41
Number 17,41
Coach 2,41
Resident 3,41
FC Announcer,41
Teen Girl 2,40
Refugee Man 4,40
Duncan,40
Tooth,40
"Stan, Kyle, Cartman",40
Hippie 1,40
Fat Boy,40
Senator 1,40
Angel 5,40
Parents,40
Av 1,40
Rudy,40
Jimmy Kimmel,40
Staffer 2,40
Naked Man,40
OC Member 3,40
Sound Engineer,40
Spy Angel,40
